pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
9.0,5,60-65%,0.6225784305894491,353,51.55807365439094,72.23796033994334,72.23796033994334,52.183229140752275,-0.6251554863613396,-0.031172468987595015,1.0396600566572238,56.14035087719298,29.239766081871345,6.324664239535633
9.0,5,65-70%,0.6701180590294172,182,52.197802197802204,76.92307692307693,69.23076923076923,53.25443786982249,-1.0566356720202896,-0.05433755530805234,0.9505494505494505,45.97701149425287,19.54022988505747,13.724752436885623
9.5,5,50-55%,0.5229071572822487,330,46.36363636363636,67.57575757575758,67.27272727272727,45.460055096418735,0.9035812672176291,0.041139822454555004,1.196969696969697,61.5819209039548,35.02824858757062,4.392463867628462
9.5,5,55-60%,0.5734233781382506,284,44.36619718309859,67.25352112676056,69.36619718309859,46.651210077365604,-2.285012894267008,-0.10562687662207572,1.2570422535211268,62.65822784810127,34.177215189873415,3.099151890452443
9.5,5,60-65%,0.6233701622375828,168,52.38095238095239,75.0,73.21428571428571,54.91071428571428,-2.5297619047618958,-0.13192572253425366,0.9880952380952381,55.00000000000001,26.25,10.868113273192881
7.0,6,50-55%,0.5221921261378533,220,57.27272727272727,78.63636363636364,72.72727272727273,57.190082644628106,0.08264462809917106,0.004527436776116863,1.0,59.57446808510638,30.851063829787233,6.645828687944136
7.0,6,55-60%,0.5738164094215192,221,59.72850678733032,77.82805429864254,76.47058823529412,59.515570934256054,0.21293585307425866,0.01208442669822316,0.7647058823529411,41.57303370786517,24.719101123595504,8.269161827983416
7.0,6,60-65%,0.6245331784667764,127,52.75590551181102,77.95275590551181,70.07874015748031,54.628309256618515,-1.8724037448074937,-0.09863329197981666,0.7637795275590551,43.333333333333336,15.0,6.787622575298942
7.5,6,50-55%,0.5231091405445047,544,56.80147058823529,75.73529411764706,73.71323529411765,55.82693555363322,0.9745350346020754,0.051643953020679194,0.9724264705882353,60.851063829787236,34.04255319148936,5.686123521763839
7.5,6,55-60%,0.5741877077848376,512,55.859375,74.8046875,74.8046875,55.95741271972656,-0.0980377197265625,-0.005201692067925597,0.873046875,54.424778761061944,24.336283185840706,7.504093206161971
7.5,6,60-65%,0.6223500169966041,312,56.41025641025641,76.6025641025641,73.71794871794873,56.469838921762005,-0.0595825115055959,-0.0031973985143165895,0.9358974358974359,56.61764705882353,28.676470588235293,3.1729405714405017
