n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
733,0.43656207366984995,0.9539619350077159,75.85266030013642,13.77899045020464,10.368349249658936,1.807909604519774,42.93785310734463,64.62543812600366,11.227222174132766,74.98065635763129,0.8720039425051285,8.5,2,bottom,2024
478,0.4393305439330544,0.7793303684990748,74.05857740585773,14.435146443514643,11.506276150627615,1.6935483870967742,44.354838709677416,64.44677195241404,9.6118054534437,72.2249312763294,1.8336461295283435,8.5,2,bottom,2025
383,0.39425587467362927,0.7682391699588536,76.50130548302873,14.621409921671018,8.87728459530026,1.6777777777777778,37.77777777777778,67.41815281901137,9.083152664017359,75.7853315699923,0.7159739130364273,9.0,2,bottom,2021
268,0.43656716417910446,0.965998658393426,77.98507462686567,9.328358208955224,12.686567164179104,1.9830508474576272,57.6271186440678,64.62510915045013,13.359965476415548,75.13282775672529,2.8522468701403736,9.0,2,bottom,2022
493,0.460446247464503,0.8952819142795888,73.22515212981745,15.415821501014198,11.359026369168356,1.7196969696969697,42.42424242424242,63.100199962729,10.124952167088441,72.31035445988442,0.9147976699330207,9.0,2,bottom,2023
378,0.5370370370370371,1.129924354062285,70.37037037037037,16.137566137566136,13.492063492063492,1.8125,45.535714285714285,58.447747440783424,11.922622929586947,69.63945767453961,0.7309126958307655,9.0,2,bottom,2024
317,0.4416403785488959,1.0448428702631474,76.02523659305994,14.195583596214512,9.779179810725552,1.8421052631578947,40.78947368421053,64.29808235797432,11.727154235085624,75.69591088932125,0.329325703738681,9.0,2,bottom,2025
212,0.589622641509434,1.124631136546544,67.9245283018868,16.50943396226415,15.566037735849056,1.838235294117647,48.529411764705884,55.45365043148638,12.47087787040041,65.73087234886444,2.1936559530223443,9.5,2,bottom,2021
146,0.589041095890411,1.5678790741615496,73.28767123287672,10.95890410958904,15.753424657534246,2.2051282051282053,58.97435897435898,55.48590863785381,17.801762595022907,70.67905828085313,2.6086129520235923,9.5,2,bottom,2022
278,0.5287769784172662,1.2031400150637612,74.10071942446042,11.510791366906476,14.388489208633093,2.0416666666666665,55.55555555555556,58.93252866517922,15.168190759281208,71.11516196640267,2.9855574580577637,9.5,2,bottom,2023
110,0.6909090909090909,2.0320266889074223,68.18181818181817,12.727272727272727,19.090909090909093,2.1714285714285713,60.0,50.112029802149586,18.069788379668594,68.1145343543406,0.06728382747757111,9.5,2,bottom,2024
129,0.5116279069767442,1.033066860465116,72.09302325581395,14.728682170542637,13.178294573643413,1.8333333333333333,47.22222222222222,59.95188231194237,12.141140943871576,70.27520222849981,1.817821027314137,9.5,2,bottom,2025
113,0.504424778761062,1.0557838179519596,73.45132743362832,13.274336283185843,13.274336283185843,1.9,50.0,60.38528245147942,13.066044982148906,71.11565950928133,2.3356679243469958,7.0,3,top,2021
278,0.4028776978417266,0.739630678128977,76.97841726618705,10.79136690647482,12.23021582733813,1.75,53.125,66.8393840334157,10.139033232771355,74.61597684967205,2.3624404165149993,7.0,3,top,2022
